1	2	3	4	5
08:00:00	-12.259708286619608	-38.96374221984438	4	60	4	23	1000
09:00:00	-12.259772021539	-38.962082997534644	4	55	5	24	1000
10:00:00	-12.259837850935604	-38.96007701837203	4	45	6	25	1000
11:00:00	-12.259905898122456	-38.95748016774276	4.5	45	6	26	1100
12:00:00	-12.259982328505963	-38.95533650703408	5.8	65	10	28	2000
13:00:00	-12.258908285245358	-38.96318190327669	5	60	9	28	2000
14:00:00	-12.260706768524507	-38.959284468756806	5	45	8	28	2000
15:00:00	-12.260600975730037	-38.958310110126845	5	45	6	28	2000
16:00:00	-12.260336493558112	-38.95818380437851	5	45	6	27	1100
17:00:00	-12.259190401080748	-38.956974877930215	5	45	4	27	700
18:00:00	-12.260424654311569	-38.95665009172023	6	70	2	25	600
19:00:00	-12.26086545763664	-38.95959121128847	5.2	67	0	24	600
20:00:00	-12.259560677656632	-38.95412397675364	4.4	40	0	24	600
